,node_id,ip_addr
232,N46140438,"[nan, '216.106.226.58', nan, nan, nan, nan, nan, nan, nan, nan]"
233,N46198872,"[nan, '204.147.182.76', nan, nan, nan, nan, nan, nan, nan, nan]"
234,N46200857,"[nan, '192.190.207.35', nan, nan, nan, nan, nan, nan, nan, nan]"
235,N46259463,"[nan, '192.69.145.122', nan, nan, nan, nan, nan, nan, nan, nan]"
236,N46260093,"[nan, '192.69.146.116', nan, nan, nan, nan, nan, nan, nan, nan]"
237,N46335564,"[nan, '198.74.28.222', nan, nan, nan, nan, nan, nan, nan, nan]"
238,N46351031,"[nan, '198.74.31.240', nan, nan, nan, nan, nan, nan, nan, nan]"
239,N46416132,"[nan, '66.115.205.124', nan, nan, nan, nan, nan, nan, nan, nan]"
240,N46427565,"[nan, '192.69.144.140', nan, nan, nan, nan, nan, nan, nan, nan]"
241,N46505729,"[nan, '66.115.242.180', nan, nan, nan, nan, nan, nan, nan, nan]"
242,N46538947,"[nan, '192.69.145.246', nan, nan, nan, nan, nan, nan, nan, nan]"
243,N46559377,"[nan, '192.69.144.101', nan, nan, nan, nan, nan, nan, nan, nan]"
244,N46646763,"[nan, '66.128.176.213', nan, nan, nan, nan, nan, nan, nan, nan]"
245,N46647837,"[nan, '142.54.26.234', nan, nan, nan, nan, nan, nan, nan, nan]"
246,N46798746,"[nan, '139.60.109.162', nan, nan, nan, nan, nan, nan, nan, nan]"
247,N46812091,"[nan, '139.60.109.195', nan, nan, nan, nan, nan, nan, nan, nan]"
248,N46939564,"[nan, '208.53.210.218', nan, nan, nan, nan, nan, nan, nan, nan]"
249,N46940406,"[nan, '142.54.30.144', nan, nan, nan, nan, nan, nan, nan, nan]"
250,N47067888,"[nan, '139.60.108.21', nan, nan, nan, nan, nan, nan, nan, nan]"
251,N47085471,"[nan, '216.106.210.91', nan, nan, nan, nan, nan, nan, nan, nan]"
252,N47102191,"[nan, '66.128.176.9', nan, nan, nan, nan, nan, nan, nan, nan]"
253,N47104209,"[nan, '192.190.207.238', nan, nan, nan, nan, nan, nan, nan, nan]"
254,N47110704,"[nan, '216.106.216.230', nan, nan, nan, nan, nan, nan, nan, nan]"
255,N47115153,"[nan, '208.53.210.209', nan, nan, nan, nan, nan, nan, nan, nan]"
256,N47154778,"[nan, '142.54.29.213', nan, nan, nan, nan, nan, nan, nan, nan]"
257,N47156448,"[nan, '216.106.200.135', nan, nan, nan, nan, nan, nan, nan, nan]"
258,N47168049,"[nan, '139.60.109.43', nan, nan, nan, nan, nan, nan, nan, nan]"
259,N47197110,"[nan, '216.106.229.29', nan, nan, nan, nan, nan, nan, nan, nan]"
260,N47243787,"[nan, '66.115.232.5', nan, nan, nan, nan, nan, nan, nan, nan]"
261,N47245416,"[nan, '192.69.147.248', nan, nan, nan, nan, nan, nan, nan, nan]"
262,N47260329,"[nan, '208.53.210.228', nan, nan, nan, nan, nan, nan, nan, nan]"
263,N47318909,"[nan, '139.60.111.175', nan, nan, nan, nan, nan, nan, nan, nan]"
264,N47357895,"[nan, '198.74.28.196', nan, nan, nan, nan, nan, nan, nan, nan]"
265,N47556080,"[nan, '162.218.47.241', nan, nan, nan, nan, nan, nan, nan, nan]"
266,N47680899,"[nan, '192.69.145.70', nan, nan, nan, nan, nan, nan, nan, nan]"
267,N47691928,"[nan, '139.60.110.217', nan, nan, nan, nan, nan, nan, nan, nan]"
268,N47707740,"[nan, '216.106.226.223', nan, nan, nan, nan, nan, nan, nan, nan]"
269,N47765702,"[nan, '216.106.210.241', nan, nan, nan, nan, nan, nan, nan, nan]"
270,N47903201,"[nan, '162.218.46.106', nan, nan, nan, nan, nan, nan, nan, nan]"
271,N47950597,"[nan, '66.128.176.233', nan, nan, nan, nan, nan, nan, nan, nan]"
272,N48073954,"[nan, '142.0.11.75', nan, nan, nan, nan, nan, nan, nan, nan]"
273,N48116185,"[nan, '192.69.147.78', nan, nan, nan, nan, nan, nan, nan, nan]"
274,N48117302,"[nan, '216.106.226.126', nan, nan, nan, nan, nan, nan, nan, nan]"
275,N48169280,"[nan, '162.218.47.76', nan, nan, nan, nan, nan, nan, nan, nan]"
276,N48186355,"[nan, '192.190.207.48', nan, nan, nan, nan, nan, nan, nan, nan]"
277,N48277062,"[nan, '142.54.29.173', nan, nan, nan, nan, nan, nan, nan, nan]"
278,N48362371,"[nan, '162.218.46.229', nan, nan, nan, nan, nan, nan, nan, nan]"
279,N48390945,"[nan, '216.106.237.83', nan, nan, nan, nan, nan, nan, nan, nan]"
280,N48416336,"[nan, '198.74.31.106', nan, nan, nan, nan, nan, nan, nan, nan]"
281,N48426421,"[nan, '139.60.108.92', nan, nan, nan, nan, nan, nan, nan, nan]"
282,N48528935,"[nan, '66.115.242.57', nan, nan, nan, nan, nan, nan, nan, nan]"
283,N48606854,"[nan, '198.74.28.188', nan, nan, nan, nan, nan, nan, nan, nan]"
284,N48607028,"[nan, '162.218.47.244', nan, nan, nan, nan, nan, nan, nan, nan]"
285,N48610780,"[nan, '198.74.29.232', nan, nan, nan, nan, nan, nan, nan, nan]"
286,N48643083,"[nan, '192.190.206.9', nan, nan, nan, nan, nan, nan, nan, nan]"
287,N48666354,"[nan, '198.74.29.234', nan, nan, nan, nan, nan, nan, nan, nan]"
288,N48695944,"[nan, '192.69.145.39', nan, nan, nan, nan, nan, nan, nan, nan]"
289,N48721104,"[nan, '139.60.111.142', nan, nan, nan, nan, nan, nan, nan, nan]"
290,N48736122,"[nan, '216.106.239.5', nan, nan, nan, nan, nan, nan, nan, nan]"
291,N48775741,"[nan, '198.74.30.44', nan, nan, nan, nan, nan, nan, nan, nan]"
292,N48795908,"[nan, '139.60.109.101', nan, nan, nan, nan, nan, nan, nan, nan]"
